sample_id,label,label_name,case_type,source,target,rationale_count,text
1114610623072088064_twitter,1,offensive,primary,twitter,Homosexual,2,<user> idk man apparently you gotta be a queer to have morals we all must be gay then only explanation
1077642216363958278_twitter,2,normal,primary,twitter,"Other,Women",0,cutest thing in the world when ah women don ’ t no math don ’ t no why fav if you to
18046807_gab,2,normal,primary,gab,Jewish,0,q why does hasbara jdif send their flunkies here a because they send their best decepitcons to sites where kike lies still work
18388078_gab,0,hatespeech,primary,gab,"Arab,Islam,Jewish",12,lol ya arabs are less amused by this image than you are lol you and the muslims you talk like can go fuck a goat you want to talk all jew hate and forget your an american you can be the enemy too
1081753791911862273_twitter,2,normal,primary,twitter,,0,que all patriots fans bitching about a great pass and catch
1123697297467031558_twitter,2,normal,primary,twitter,Homosexual,0,kiske to kick someone gay old for a gay little ass
24247856_gab,0,hatespeech,primary,gab,African,1,our biggest sin as white people is lying and denying that we are racist we tolerate all the various nigger races because we feel sorry for their inferiority we deny our pity source we know they are lesser but our pity makes us want to protect subs from the truth
24198545_gab,0,hatespeech,primary,gab,African,1,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew
1116973303661584384_twitter,2,normal,primary,twitter,Homosexual,0,<user> he already admitted to being a guy just say you are gay and let this delusion die
8780029_gab,2,normal,primary,gab,"African,Caucasian,Refugee",0,will all of the white people who want to move to a ghetto or third world country please raise your hand
24923292_gab,0,hatespeech,primary,gab,"Arab,Asian,Islam,Other,Refugee",17,more thousands of girls have been raped by pakistani muslims do you <number> call for an immediate national debate about immigration and race <number> introduce harsh penalties for all involved <number> gag the native population make a pakistani muslim the nation home secretary they chose <number>
20526500_gab,0,hatespeech,primary,gab,"Arab,Islam",1,the muzzies got another tentacle out there
1187124720208093184_twitter,1,offensive,primary,twitter,Women,1,ion ask nobody to do shit for me i get shit done by myself a bitch be expecting too much like no
20187632_gab,0,hatespeech,primary,gab,African,1,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa
1179008255948972035_twitter,2,normal,primary,twitter,,0,love to go to class on the cusp of mildly hungover and still drunk from last night
1172772994697039872_twitter,1,offensive,primary,twitter,"Jewish,Men,Other,Women",5,<user> the grammar nazis on this app would ’ ve judged me to fuck and back uyabazi mara 😂 😂 😂 💔
1179105254484434944_twitter,2,normal,primary,twitter,,0,my school talking abt how theyre a great place to be like they dont allow anti queer radical christians to spew hate on campus every semester
18537046_gab,2,normal,primary,gab,"Arab,Caucasian,Hispanic,Islam",0,not unless white boys in rural kentucky counties are turning muslim
12043182_gab,0,hatespeech,primary,gab,Jewish,2,the founding fathers was white the constitution was written for white americans because america was founded by whites build by white for whites you need a history lesson dumb fuck usa is a white hoemland fuckoff kike puppet
1097835177055801350_twitter,2,normal,primary,twitter,"Islam,Other",0,<user> democrats inciting violence against fellow americans democrats wanting open borders democrats supporting infantcide
21177346_gab,1,offensive,primary,gab,"African,Arab,Islam,Jewish",9,luckily this kike has never lived under nazi rule and definitely never lived under communist rule both hate kikes for the sand niggers they are
1179093514635882496_twitter,1,offensive,primary,twitter,"Caucasian,Disability,Other",3,fucking retarded white people on twitter saying the n word hiding behind an anime avi virgin
24949183_gab,2,normal,primary,gab,"Arab,Homosexual,Islam,Jewish",0,last time i checked under sharia law queers are executed i always figured that was the main reasons jews hate and fear shariah law shariah law is only for muslims though how is it you are unaware of that
15413395_gab,0,hatespeech,primary,gab,"Arab,Asian,Caucasian,Women",13,white women please take you heads out from your butts i do not want to be raped by shitskins stop welcoming them for god sake
1117597598666362881_twitter,1,offensive,primary,twitter,"African,Women",2,y ’ all bitches walk around y ’ all dirty ass cribs with nothing on y ’ all feet amp y ’ all want a nigga to suck your toes spare me
10722961_gab,2,normal,primary,gab,"African,Men,Women",0,free speech my ass it was terrorism and the incitement of violence say it name radicalwhiteterrorism
1179102559241244672_twitter,1,offensive,primary,twitter,"Caucasian,Economic",1,he said bro even your texts sound redneck whatever the fuck that means 😂 🤷 🏻 ‍ ♂️ <user>
20186851_gab,0,hatespeech,primary,gab,African,2,nigel farage edward the 8 th the brits should crown nigel before nignog babies inherit the throne
23669800_gab,1,offensive,primary,gab,"African,Other",22,well i do not agree with dinesh trump or anyone really d however the right is indeed more populist right now while left establishment is getting too greedy and using virtue signaling to undermine those and others they claim to support ghetto pimping
23847540_gab,1,offensive,primary,gab,Women,46,abortion is never going 2 b accepted by the majority of people since women bear the burden of carrying a child the respons falls on her 2 b more responsible if u are not married do not have sex if u can not afford birth control
