sample_id,label,label_name,case_type,source,target,rationale_count,text
19633206_gab,1,offensive,ablation,gab,Islam,1,not shocking when u look at the number of muzzies in uk security
19801022_gab,0,hatespeech,ablation,gab,Jewish,2,eat shit you spamming kike
21764118_gab,0,hatespeech,ablation,gab,Islam,3,when shariza appeasing may is sucking moslem cock does her husband brit fam
1244719373606170629_twitter,2,normal,ablation,twitter,"Homosexual,Other,Women",0,i don ’ t like any bitch that says he him lesbians aren ’ t valid
1179018525194772480_twitter,2,normal,ablation,twitter,Islam,0,bjp militant wing rss the rss aima to kill all the minorities from india to make it a pure hindu state
14521688_gab,0,hatespeech,ablation,gab,"African,Arab,Asian,Caucasian,Hispanic",8,keep your mind on the real face of racism the war on whites rise up and unite my brothers as others have taken up violence against you
1179407930657005568_twitter,1,offensive,ablation,twitter,Women,4,morning wood could poke ya bitch eye out
1179037768195817472_twitter,2,normal,ablation,twitter,Homosexual,0,hold on how the fuck are you gonna call mark homophobic when you yelled fucking faggot while you were driving past me and my friends your a damn hypocrite grow the fuck up
1178784612685885441_twitter,1,offensive,ablation,twitter,Caucasian,3,<user> the privileged white devils are the only race that can not be victims of a hate crime
27704094_gab,0,hatespeech,ablation,gab,"Arab,Islam",1,hey ladies have you been fitted for your berka sill think your mussie neighbors are nice
5017270_gab,0,hatespeech,ablation,gab,"African,Jewish",46,i do not lose temper when calling niggers niggers other than that do you really think nigger chimpouts in the us achieved anything every gains niggers reached in the us jews gave them niggers were never more than annoying subhumans merely tolerated at the whites mercy
22816151_gab,0,hatespeech,ablation,gab,Islam,1,if words have no effect in the uk i guess firebombing government buildings would not either nor firebombing moslem businesses it would be a shame if masked persons did it
1186701665900085248_twitter,1,offensive,ablation,twitter,Women,1,bitches love attention
27013885_gab,1,offensive,ablation,gab,"Christian,Other,Refugee",25,if your church helps 3 rd world refugees but does not help white american opioid addicts your church is actually a suicidal leftist satanic cult
1125080079833415681_twitter,1,offensive,ablation,twitter,"Arab,Islam,Men,Women",3,my muslim moots ramadan is coming
1178998885555085312_twitter,1,offensive,ablation,twitter,Women,1,<user> bitch i hate you
25809327_gab,0,hatespeech,ablation,gab,"African,Hispanic,Homosexual",3,nah fuck you too for liking dylan roof that little faggot shot up a church of black christians cuz he was too scared to go kill thug niggers or spic gangsters fucking coward kid deserves to be crucified
1178751939019968513_twitter,1,offensive,ablation,twitter,"Homosexual,Men,Women",9,<user> <user> why is it that straight men like to watch dykes get dicked down
10380188_gab,2,normal,ablation,gab,Caucasian,0,if i leave i am contributing to white genocide in my own capital city tbh i like being able to do so many different things without travelling too far the architecture history is mind blowing as long as you avoid the tourists ghettoes
