sample_id,label,split,case_type,selected_for_primary,selected_for_deep,selected_for_ablation,rationale_available
1114610623072088064_twitter,1,test,primary,true,false,false,true
1077642216363958278_twitter,2,test,primary,true,false,false,false
18046807_gab,2,test,primary,true,false,false,false
18388078_gab,0,test,primary,true,false,false,true
1081753791911862273_twitter,2,test,primary,true,false,false,false
1123697297467031558_twitter,2,test,primary,true,false,false,false
24247856_gab,0,test,primary,true,false,false,true
24198545_gab,0,test,primary,true,false,false,true
1116973303661584384_twitter,2,test,primary,true,false,false,false
8780029_gab,2,test,primary,true,true,false,false
24923292_gab,0,test,primary,true,false,false,true
20526500_gab,0,test,primary,true,true,false,true
1187124720208093184_twitter,1,test,primary,true,false,false,true
20187632_gab,0,test,primary,true,false,false,true
1179008255948972035_twitter,2,test,primary,true,false,false,false
1172772994697039872_twitter,1,test,primary,true,false,false,true
1179105254484434944_twitter,2,test,primary,true,false,false,false
18537046_gab,2,test,primary,true,false,false,false
12043182_gab,0,test,primary,true,false,false,true
1097835177055801350_twitter,2,test,primary,true,false,false,false
21177346_gab,1,test,primary,true,false,false,true
1179093514635882496_twitter,1,test,primary,true,false,false,true
24949183_gab,2,test,primary,true,false,false,false
15413395_gab,0,test,primary,true,false,false,true
1117597598666362881_twitter,1,test,primary,true,false,false,true
10722961_gab,2,test,primary,true,false,false,false
1179102559241244672_twitter,1,test,primary,true,false,false,true
20186851_gab,0,test,primary,true,false,false,true
23669800_gab,1,test,primary,true,false,false,true
23847540_gab,1,test,primary,true,true,false,true
1092728972679426048_twitter,2,test,deep,false,true,false,false
11498486_gab,0,test,deep,false,true,false,true
17386929_gab,1,test,deep,false,true,false,true
1174186731006042114_twitter,1,test,deep,false,true,false,true
1179088288340160514_twitter,1,test,deep,false,true,false,true
1179080158340407297_twitter,1,test,deep,false,true,false,true
19433376_gab,1,test,deep,false,true,false,true
20710599_gab,0,test,deep,false,true,false,true
20531434_gab,1,test,deep,false,true,false,true
14449986_gab,2,test,deep,false,true,false,false
8544506_gab,1,test,deep,false,true,false,true
1178760102012174338_twitter,0,test,deep,false,true,false,true
1178759746683146240_twitter,0,test,deep,false,true,false,true
10827321_gab,1,test,deep,false,true,false,true
1178262260063584257_twitter,2,test,deep,false,true,false,false
25427359_gab,0,test,deep,false,true,false,true
19372895_gab,0,test,deep,false,true,false,true
20632309_gab,0,test,deep,false,true,false,true
1179100501297774596_twitter,2,test,deep,false,true,false,false
17408390_gab,0,test,deep,false,true,false,true
26403158_gab,0,test,deep,false,true,false,true
1179065369094344705_twitter,2,test,deep,false,true,false,false
1179092923700404230_twitter,2,test,deep,false,true,false,false
1184634368976998406_twitter,2,test,deep,false,true,false,false
26516753_gab,0,test,deep,false,true,false,true
1178690096544960513_twitter,2,test,deep,false,true,false,false
1173341490682179585_twitter,2,test,deep,false,true,false,false
1232998850647846915_twitter,2,test,deep,false,true,false,false
1178495903113650176_twitter,2,test,deep,false,true,false,false
1189522154985005057_twitter,2,test,deep,false,true,false,false
1109450987440353280_twitter,2,test,deep,false,true,false,false
25617308_gab,0,test,deep,false,true,false,true
16397101_gab,0,test,deep,false,true,false,true
1205626713692131334_twitter,1,test,deep,false,true,false,true
1179034396575186951_twitter,2,test,deep,false,true,false,false
18961075_gab,0,test,deep,false,true,false,true
1179097174078042113_twitter,2,test,deep,false,true,false,false
1178873953332465664_twitter,1,test,deep,false,true,false,true
1180148074317938689_twitter,2,test,deep,false,true,false,false
1178355699731943424_twitter,2,test,deep,false,true,false,false
