model,xai_method,post_id,overlap,matched,model_top5,human_rationale_count
A_B,SHAP,5167719_gab,1.0,muzzie,"mu, e, recommendations, but, zzi",1
A_B,SHAP,1240029444812791808_twitter,0.3333,"am, negro, a, i, creamy","am, negro, a, i, creamy",15
A_B,SHAP,1174186731006042114_twitter,0.0,,"ho, >, hits, made, number",1
A_B,SHAP,1179080158340407297_twitter,0.0,,"ho, the, 🤡, a, trusted",1
A_B,SHAP,27402153_gab,0.1875,"islam, is, eradicated","de, dicated, islam, europeans, is",16
A_B,SHAP,1087571270605131776_twitter,0.3077,"will, all, they, gwalla","g, will, ho, they, wall",13
A_B,SHAP,8544506_gab,0.375,"message, islam, mainstream","message, being, islam, peaceful, mainstream",8
A_B,SHAP,12867073_gab,0.1282,"and, terror, islam, attack, is","and, terror, islam, attack, is",39
A_B,SHAP,27692892_gab,0.0,,"to, put, lose, germany",2
A_B,SHAP,10172622_gab,0.6667,"white, house, the, in","the, house, white, in, those",6
A_B,SHAP,1165043319321366528_twitter,0.6667,"ugly, negros","negro, <, user, ugly, l",3
A_B,SHAP,1178915039924895744_twitter,0.3333,faggots,"gg, fa, ots, >, sight",3
A_B,SHAP,1177392985471934464_twitter,1.0,dyke,"dyke, ma, im, ugly, lil",1
A_B,SHAP,26588782_gab,0.0938,"standard, sanders, roseanne","and, dar, etc, with, rose",32
A_B,SHAP,16625438_gab,0.1667,"racist, smarter","racist, proportion, iq, smart, as",12
A_B,SHAP,1179047042242535425_twitter,0.25,whore,"ho, that, whore, death, fuck",4
A_B,SHAP,16900430_gab,0.6667,"dykes, queers","s, dyke, ters, queer",3
A_B,SHAP,13063961_gab,0.25,and,"and, gg, fa, ot, that",4
A_B,SHAP,22319846_gab,0.3846,"and, jews, own, the, i","and, jews, own, the, i",13
A_B,SHAP,1178637505710583810_twitter,0.5,redneck,"week, d, part, neck, deux",2
A_B,SHAP,1178514989436375041_twitter,0.5,"dykes, bitch","s, dyke, bitch, you",4
A_B,SHAP,25333312_gab,0.125,"who, men, assholes, jackasses","s, men, asse, asshole, who",32
A_B,SHAP,1178287461560127489_twitter,0.5,niggers,"u, ni, r, kanye, gger",2
A_B,SHAP,25001491_gab,0.3,"ugly, black, nigger","buffalo, ni, ugly, gger, black",10
A_B,SHAP,22161097_gab,0.5,nigger,"die, for, ni, ending, gger",2
A_B,SHAP,20602248_gab,0.5,nigger,"good, ni, cu, a, gger",2
A_B,SHAP,1114610623072088064_twitter,0.5,gay,"gotta, gay, <, all, man",2
A_B,SHAP,13713469_gab,0.2,"retarded, you","tar, re, 🐸, ded, you",10
A_B,SHAP,21531589_gab,1.0,nigger,"can, not, gger, twitter, ni",1
A_B,SHAP,23659865_gab,0.1471,"same, were, arabs, in, muslim","same, arabs, were, in, muslim",34
A_B,SHAP,19089112_gab,0.375,"be, should, nigger","should, only, be, gger, ni",8
A_B,SHAP,1203708372094267392_twitter,0.5,ghetto,"🥴, ghetto, money, with, no",2
A_B,SHAP,27902074_gab,0.7143,"hate, jews, nobody, likes, knows","hate, jews, nobody, likes, knows",7
A_B,SHAP,11498486_gab,0.3333,beaner,"bean, er, ic, sp, divide",3
A_B,SHAP,26871375_gab,0.0,,"shall, while, ke, en, ki",2
A_B,SHAP,19930942_gab,0.2,nigger,"rs, happy, <, gger, ni",5
A_B,SHAP,21925689_gab,0.3333,niggers,"lying, ni, ke, ki, gger",3
A_B,SHAP,20126138_gab,0.0,,"ve, ke, ki",2
A_B,SHAP,27832444_gab,0.2308,"anymore, nazi, bitch","gg, fa, anymore, nazi, bitch",13
A_B,SHAP,15422594_gab,0.3077,"wants, skins, twat, murdering","wants, skins, t, wat, murdering",13
D_B,SHAP,5167719_gab,1.0,muzzie,"s, mu, favour, e, zzi",1
D_B,SHAP,1240029444812791808_twitter,0.3333,"negro, ur, ass, wanna, creamy","negro, ur, ass, wanna, creamy",15
D_B,SHAP,1174186731006042114_twitter,0.0,,"ho, <, hits, made, that",1
D_B,SHAP,1179080158340407297_twitter,0.0,,"🤡, e, ho, trust",1
D_B,SHAP,27402153_gab,0.1875,"deport, is, islam","de, white, islam, port, is",16
D_B,SHAP,1087571270605131776_twitter,0.0769,yo,"ho, yo, y, es",13
D_B,SHAP,8544506_gab,0.25,"islam, liberals","muslims, liberals, lies, islam, peaceful",8
D_B,SHAP,12867073_gab,0.1282,"will, las, stupid, radical, you","will, las, stupid, radical, you",39
D_B,SHAP,27692892_gab,0.5,wetback,"jersey, can, back, wet, germany",2
D_B,SHAP,10172622_gab,0.6667,"racist, house, the, white","racist, the, house, white, those",6
D_B,SHAP,1165043319321366528_twitter,0.6667,"ugly, negros","negro, l, ma, ugly, f",3
D_B,SHAP,1178915039924895744_twitter,0.3333,roach,"roach, gg, user, fa",3
D_B,SHAP,1177392985471934464_twitter,1.0,dyke,"haitian, dyke, blocking, ugly, boy",1
D_B,SHAP,26588782_gab,0.0938,"standard, sarah, d","d, sarah, dar, ds",32
D_B,SHAP,16625438_gab,0.1667,"racist, smarter","super, racist, smart, as, article",12
D_B,SHAP,1179047042242535425_twitter,0.5,"whore, retarded","whore, ho, tar, re",4
D_B,SHAP,16900430_gab,0.6667,"dykes, queers","s, forget, dyke, your, queer",3
D_B,SHAP,13063961_gab,0.75,"and, mudshark, serial","and, gg, serial, fa, mud",4
D_B,SHAP,22319846_gab,0.3846,"and, jews, why, our, enemy","and, jews, why, our, enemy",13
D_B,SHAP,1178637505710583810_twitter,1.0,"redneck, revenge","red, stoke, revenge, neck, war",2
D_B,SHAP,1178514989436375041_twitter,0.5,"dykes, bitch","s, dyke, hard, bitch, ni",4
D_B,SHAP,25333312_gab,0.125,"white, men, destroying, are","white, men, destroying, are",32
D_B,SHAP,1178287461560127489_twitter,0.5,niggers,"s, u, ni, kanye, gger",2
D_B,SHAP,25001491_gab,0.1,nigger,"rd, favorite, ni, snack, gger",10
D_B,SHAP,22161097_gab,0.5,nigger,"understand, for, ni, ending, gger",2
D_B,SHAP,20602248_gab,1.0,"cunts, nigger","hollywood, nts, ni, lover, gger",2
D_B,SHAP,1114610623072088064_twitter,0.5,gay,"gotta, gay, we, then, apparently",2
D_B,SHAP,13713469_gab,0.3,"today, retarded, you","today, tar, re, ded, you",10
D_B,SHAP,21531589_gab,1.0,nigger,"can, ni, twitter, gger, bt",1
D_B,SHAP,23659865_gab,0.1471,"judaism, apologize, will, anyway, you","apologize, judaism, will, anyway, you",34
D_B,SHAP,19089112_gab,0.375,"killed, whites, nigger","killed, x, ni, whites, gger",8
