sample_id,label,label_name,case_type,source,target,rationale_count,text
1092728972679426048_twitter,2,normal,deep,twitter,,0,ines is one evil bitch mafsau
11498486_gab,0,hatespeech,deep,gab,Hispanic,3,divide you are a fucking spic rapists and criminals get the fuck out beaner
17386929_gab,1,offensive,deep,gab,"African,Arab,Asian,Hindu,Hispanic,Jewish",20,yeah me too yeah you too yeah you bash blacks too and the chinks and the j00s dindu nuffins hindu muffins spics micks wops sand niggers who cares humans talk thats what we do so we should go kill each other please
1174186731006042114_twitter,1,offensive,deep,twitter,Women,1,made that hoe in <number> hits
1179088288340160514_twitter,1,offensive,deep,twitter,African,4,i am not judging i have dealt with a psycho broke ass negro that worse
1179080158340407297_twitter,1,offensive,deep,twitter,Women,2,never trust a hoe it me i am the hoe i trusted myself 🤡
19433376_gab,1,offensive,deep,gab,Refugee,9,so you are an illegal immigrant that got amnesty
20710599_gab,0,hatespeech,deep,gab,African,1,it funny how those coons drop straight to the ground if you punch em in just the right place
20531434_gab,1,offensive,deep,gab,Other,2,we could have had the stars but no we got this retarded bullshit
14449986_gab,2,normal,deep,gab,"Islam,Jewish",0,coming together for christmas wow tesco has lost it mind for moslems and jews christmas is pagan celebration aside from fact that they would not eat turkey which is not halal i wish pork was traditional christmas dish in britain too then this advert would have had a different meaning
8544506_gab,1,offensive,deep,gab,"Islam,Other",9,love brigitte gabriel completely destroys the mainstream media pro islam message and the liberals elites lies about islam and muslims being peaceful
1178760102012174338_twitter,0,hatespeech,deep,twitter,"Caucasian,Other",9,being sexually attracted to white guys is a fucking disease
1178759746683146240_twitter,0,hatespeech,deep,twitter,Caucasian,9,<user> alot of people just dont say it but she is not the only white nigger to think this way she is just another white nigger impowerd by trump to show her stupid way of thinking white niggers are the worst
10827321_gab,1,offensive,deep,gab,Women,15,the prevalence of feminism demonstrates that the future is now the ponderous pace of evolution argues that the future reflects the past and the present only the biological limits of dimorphism have prevented women from evolving into reproduction machines sexbots meh gmo women brave new world
